Time(min),Theta(Degrees)
2208.0,45.626616298632804
2208.0,177.591368660948
2208.0,72.6234822975558
2208.0,137.23106232669286
2208.0,91.66192817783065
2208.0,18.431783759470708
2208.0,17.04843872450353
2208.0,33.00854867386721
2211.0,32.86558831924099
2211.0,60.43974686709603
2211.0,156.30780229970276
2211.0,29.802519772444423
2211.0,90.77888566095221
2211.0,14.955271410647313
2211.0,19.11156565978391
2211.0,50.85477008127454
2211.0,56.84700943121071
2211.0,164.3086578024788
2214.0,87.53262497974721
2214.0,78.34654908993036
2214.0,170.1562056784116
2214.0,130.59559271111195
2214.0,18.278150327345795
2214.0,141.30362425978123
2214.0,101.82212190768753
2214.0,80.17504206678079
2214.0,153.86040575463707
2214.0,77.71831027738179
2217.0,122.6361102585409
2217.0,173.23148368690494
2217.0,106.39187540583089
2217.0,132.52940529988572
2217.0,128.92564982822407
2217.0,76.73068320363026
2217.0,166.09558127954702
2217.0,45.42485091798936
2217.0,72.83847521840818
2217.0,122.50866788863677
2217.0,140.95506342761826
2220.0,67.81177114339583
2220.0,176.3407513343467
2220.0,133.55400275990428
2220.0,166.7574225127629
2220.0,102.30803172565219
2220.0,73.54089264307719
2220.0,21.357854571785655
2220.0,55.26980818968612
2220.0,21.048130973801864
2220.0,48.90175508780227
2220.0,46.05185175486008
2223.0,107.09091692952168
2223.0,82.13291909806607
2223.0,82.02718867927068
2223.0,7.828657268026233
2223.0,34.057570266707565
2223.0,12.59553529756886
2223.0,75.1274023366955
2223.0,147.39759698991875
2223.0,121.2855659504999
2223.0,165.20841373765128
2226.0,113.7289644537386
2226.0,45.44460203489138
2226.0,164.16875323664007
2226.0,70.73362831152524
2226.0,140.87340550262283
2226.0,33.0981128501836
2226.0,79.71929426657013
2226.0,175.69684741347604
2226.0,23.703609785137527
2226.0,48.88375176046835
2226.0,166.10091140015066
2229.0,139.33323239214698
2229.0,79.70216912903166
2229.0,67.47643834557718
2229.0,57.158005342938196
2229.0,56.545681085363256
2229.0,61.87440303357707
2229.0,38.55100360767399
2229.0,76.36173401385793
2229.0,4.285039299771798
2229.0,117.26307170763934
2229.0,94.6268933738046
2232.0,54.75790281581849
2232.0,147.0532445533205
2232.0,40.20589497938611
2232.0,29.21971221021453
2232.0,72.56251587309188
2232.0,112.31169875844495
2232.0,104.16394816152714
2232.0,149.30659142635542
2232.0,0.019602737724181397
